mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
86.59589004516602,1.1003838884550061,0.2205336093902588,0.1476295107133155,200,5,1,0.5,,"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 0.5, 'max_depth': None}",0.9941579521526096,0.9971010552538778,0.994486881727449,0.9950485130612026,0.9965145435619504,0.9954617891514179,0.0011503667011074667,2
85.2756682395935,0.7129958312825303,0.2796454906463623,0.14666096697783548,200,5,5,0.5,,"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 5, 'max_features': 0.5, 'max_depth': None}",0.9920731533379922,0.9947491077375528,0.9921092555128139,0.9914693400343688,0.9905957923411896,0.9921993297927836,0.0013877765560307068,6
36.08571929931641,5.348514986009189,0.16491079330444336,0.1174405396938274,100,2,5,0.5,20,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 5, 'max_features': 0.5, 'max_depth': 20}",0.9850435557281066,0.9882568917734756,0.9879449379691587,0.9885189721159569,0.9839747117247402,0.9867478138622877,0.001867726697459802,9
11.767316436767578,1.4735365929892308,0.10016078948974609,5.756955152632906e-05,200,5,5,log2,,"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 5, 'max_features': 'log2', 'max_depth': None}",0.9906073938284669,0.988889805860535,0.990644370963877,0.9894785811286574,0.9897317176968063,0.9898703738956683,0.0006747607914258524,7
11.841118669509887,1.0409318228707598,0.1531909942626953,0.1269644506248104,200,5,5,sqrt,10,"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 5, 'max_features': 'sqrt', 'max_depth': 10}",0.9444008268857557,0.9411706190864015,0.9453385351581153,0.9462265123500302,0.9358361318153697,0.9425945250591343,0.0037864769073623346,10
47.32486681938171,0.8636544085641064,0.28282837867736815,0.1539886644958617,200,5,1,0.3,20,"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 0.3, 'max_depth': 20}",0.9912142876044511,0.9950611310751286,0.9930299363570596,0.993302166651549,0.992977394821695,0.9931169833019766,0.0012215822910176504,5
24.181128454208373,3.1922990391376933,0.1142364501953125,0.08951844560672242,100,5,1,0.3,,"{'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 0.3, 'max_depth': None}",0.9956378685845947,0.996809790876995,0.9959420652959815,0.9959386298714654,0.9950485012970302,0.9958753711852133,0.000569510530801922,1
12.6604754447937,0.9451300891384884,0.16431307792663574,0.1286407998459634,200,2,1,sqrt,20,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 20}",0.9944549276669106,0.9962232239299578,0.9953572891517043,0.994760800268583,0.995639877059224,0.9952872236152759,0.0006285233974350732,3
81.96192488670349,0.5765661908232609,0.21800813674926758,0.14962153024783673,200,2,2,0.5,,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 0.5, 'max_depth': None}",0.9938633311965979,0.9959293787020056,0.9938978592238321,0.9953410449859765,0.995341496327791,0.9948746220872406,0.0008396199557152253,4
77.50707750320434,1.2806133857454505,0.21136026382446288,0.14987506244069693,200,2,5,0.5,20,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 5, 'max_features': 0.5, 'max_depth': 20}",0.9869897411960945,0.9864612838232744,0.9882768030906879,0.9882142584173975,0.9848777144599105,0.9869639601974729,0.0012563893962921312,8
